Café 30 Inch. ELECTRIC Combination Microwave/Double Wall Oven with Advantium Technology,Café,--,"[""2-Year Manufacturer's Warranty"", 'Convection Microwave (Upper Oven)', 'Self-Clean with Steam Clean Option (Lower Oven)', 'Eight-Pass Broil Element (Lower Oven)', 'Glass Touch Controls']",Item  1426857,Model  CTC912P2NS1
KitchenAid 30 Inch. GAS Cooktop with Dual Ring Burner,KitchenAid,--,"[""2-year Manufacturer's Warranty"", '17k BTU Professional Dual Ring Burner', 'Electronic Ignition', 'Full-Width Cast-Iron Grates', 'Heavy-Duty Metal Knobs']",Item  1356431,Model  KCGS550ESS
"LG 5.8 cu. ft. Smart GAS Slide-In Range with Convection, Air Fry and EasyClean",LG,--,"['Convection with Air Fry', 'EasyClean® and Self Clean', 'SmoothTouch® Glass Controls', 'ThinQ® Technology with ThinQ Care']",Item  1715560,Model  LSGL583CF
LG 5 Element 30 Inch. ELECTRIC Cooktop with SmoothTouch Controls,LG,--,"['Style and Design', 'SmoothTouch™ Controls', 'Warming Zone', 'Triple Cooktop Elements']",Item  1059964,Model  LCE3010SB
LG 36” Smart Induction Cooktop with UltraHeat 5.0kW Element,LG,--,"['5 Induction Elements', '5.0 kW Power Element', 'Simmer Keys', 'Cookware Compatibility Indicator']",Item  1756078,Model  CBIH3617BE
"LG 6.3 cu. ft. Smart ELECTRIC Slide-In Range with Convection, Air Fry and EasyClean",LG,--,"['Convection with Air Fry', 'EasyClean® and Self Clean', 'SmoothTouch® Glass Controls', 'ThinQ® Technology with ThinQ Care']",Item  1715555,Model  LSEL633CF
"LG 9.4 cu. ft. Smart Double Wall Oven with InstaView, True Convection, Air Fry, and Steam Sous Vide",LG,--,"['True Convection with Air Fry', 'Steam Sous Vide and Steam Cooking', 'Backlit SmoothTouch® Glass Controls and LED Display', 'InstaView® Window', 'ThinQ® Smart Technology with ThinQ Care']",Item  1732342,Model  WDEP9427F
Whirlpool 5.1 Cu. Ft. Freestanding  GAS Range with Edge to Edge Cooktop,Whirlpool,--,"[""2-year Manufacturer's Warranty"", 'Two SpeedHeat Burners', 'Dishwasher-Safe Cast-Iron Grates', 'Broiler Drawer']",Item  1725517,Model  WFG505M0MS
LG 36” Smart Gas Cooktop with UltraHeat 22K BTU Dual Burner and LED Knobs,LG,--,"['Cast-Iron Grates with Removable Griddle', 'White LED Illuminated Knobs', 'EasyClean® Stainless Steel', 'Auto Reignition', 'ThinQ® Smart Technology']",Item  1732340,Model  CBGJ3627S
Mora 30-in Smooth Surface 5 Elements 5.8-cu ft Steam-Cleaning Air Fry Convection Oven Freestanding Electric Range,Mora,799.99,"['Air Fry', 'True Convection Oven', '3300W Power Boiler Element', 'Fast Preheat', '5.8 Cu.Ft Large Oven']",Item  1771809,Model  MBE3502CAS
